  0     0.000000     0.000000     0.000000   0
  1     0.384399     0.069920     0.000000   1
  2     0.799279     0.224924     0.000000   2
  3     1.203206     0.306546     0.000000   3
  4     1.601731     0.336739     0.000000   4
  5     1.997538     0.356922     0.000000   5
  6     2.392498     0.356979     0.000000   6
  7     2.788683     0.336677     0.000000   7
  8     3.187386     0.306463     0.000000   8
  9     3.591346     0.224615     0.000000   9
 10     4.006056     0.069764     0.000000  10
 11     4.391416     0.000048     0.000000  11
