  0     0.000000     0.000000     0.000000   0
  1     0.383190     0.065091     0.000000   1
  2     0.782241     0.234023     0.000000   2
  3     1.180382     0.387511     0.000000   3
  4     1.574608     0.464737     0.000000   4
  5     1.963442     0.553335     0.000000   5
  6     2.350754     0.569856     0.000000   6
  7     2.738012     0.553347     0.000000   7
  8     3.126761     0.464735     0.000000   8
  9     3.520888     0.387396     0.000000   9
 10     3.918912     0.234236     0.000000  10
 11     4.316050     0.065757     0.000000  11
 12     4.699826     0.000054     0.000000  12
